road,id,model_type,name,lat,lon,length,condition,bridge_name
N1,349,bridge,bridge,23.0819909531309,91.3541811474383,3.5,A,UTTOR KAIEATI CULVERT
N1,350,link,link,23.0849719,91.35247220000001,345.0,,
N1,351,bridge,bridge,23.0870753710144,91.3512101492753,9.25,B,FOEALTPARA BOX CULVERT
N1,352,link,link,23.0876108,91.35088890000002,312.0,,
N1,353,link,link,23.0901108,91.34941629999999,688.0,,
N1,354,bridge,bridge,23.0930298369186,91.3478308386627,3.1,A,PODOYA BOX CULVERT
N1,355,link,link,23.095582999999998,91.3464441,82.0,,
N1,356,link,link,23.0961941,91.3461108,549.9999999999709,,
N1,357,bridge,bridge,23.0973512527272,91.3454956309091,9.5,B,ADONCORA
N1,358,link,link,23.1005833,91.34377740000001,368.0000000000291,,
N1,359,bridge,bridge,23.1017563206521,91.343162998913,3.1,B,CHANGARPULL(II) BOX CULVERT
N1,360,link,link,23.1035,91.3422497,205.0000000000291,,
N1,361,link,link,23.105111100000002,91.3413608,720.0,,
N1,362,bridge,bridge,23.1074284451388,91.3400495436111,6.1,A,Chanara Box Culvert
N1,363,link,link,23.110805600000003,91.3381386,74.9999999999709,,
N1,364,link,link,23.1113611,91.3378052,1000.0,,
N1,365,bridge,bridge,23.1158251554,91.335094485,5.3,B,KAKKARA CULVERT
N1,366,link,link,23.1191382,91.3330827,28.0,,
N1,367,link,link,23.1193049,91.3329993,248.0,,
N1,368,bridge,bridge,23.1196973774193,91.3328165129032,4.5,B,FOKIR BAZAR SLAB CULVERT
N1,369,link,link,23.1213327,91.33205490000002,255.0,,
N1,370,link,link,23.123499300000002,91.3311382,675.0,,
N1,371,bridge,bridge,23.1252363577777,91.3303863688888,6.5,A,HASO BOTHACH BOX CULVERT
N1,372,link,link,23.129082699999998,91.3287216,69.99999999998545,,
N1,373,link,link,23.1295827,91.3284993,898.0000000000291,,
N1,374,bridge,bridge,23.1332639685968,91.327546416481,3.0,B,JAGOT PUR BOX CULVERT
N1,375,link,link,23.1374163,91.32647159999999,101.9999999999709,,
N1,376,link,link,23.138221899999998,91.32630490000001,579.0000000000146,,
N1,377,bridge,bridge,23.1389893200345,91.3263585348877,6.1,B,JAGARNATHPUR BOX CULVERT
N1,378,link,link,23.1433886,91.326666,420.99999999998545,,
N1,379,bridge,bridge,23.1436667679334,91.3266680470308,3.5,B,DIMATOLY (2) BOX CULVERT
N1,380,link,link,23.1471663,91.3266938,99.0000000000291,,
N1,381,link,link,23.148027399999997,91.3264993,269.0,,
N1,382,link,link,23.1496941,91.3254993,631.9999999999709,,
N1,383,bridge,bridge,23.1527364949367,91.3243178772152,6.3,B,DIMATOLI (1) BOX CULVERT
N1,384,link,link,23.1554167,91.3232771,208.00000000001455,,
N1,385,link,link,23.157166699999998,91.3224993,791.9999999999854,,
N1,386,bridge,bridge,23.1635138669191,91.3215889464646,9.5,A,ANDAJER BAZER BOX CULVERT
